Ay,Turk Is Kurumu
2004-01,10
2004-02,10
2004-03,8
2004-04,11
2004-05,9
2004-06,8
2004-07,16
2004-08,25
2004-09,47
2004-10,38
2004-11,30
2004-12,24
2005-01,24
2005-02,24
2005-03,19
2005-04,19
2005-05,18
2005-06,22
2005-07,23
2005-08,24
2005-09,19
2005-10,19
2005-11,22
2005-12,19
2006-01,17
2006-02,18
2006-03,19
2006-04,21
2006-05,22
2006-06,19
2006-07,18
2006-08,20
2006-09,22
2006-10,25
2006-11,34
2006-12,27
2007-01,26
2007-02,26
2007-03,24
2007-04,24
2007-05,23
2007-06,19
2007-07,18
2007-08,18
2007-09,19
2007-10,17
2007-11,18
2007-12,18
2008-01,20
2008-02,27
2008-03,20
2008-04,21
2008-05,18
2008-06,23
2008-07,24
2008-08,22
2008-09,23
2008-10,27
2008-11,43
2008-12,50
2009-01,43
2009-02,36
2009-03,33
2009-04,32
2009-05,28
2009-06,30
2009-07,33
2009-08,33
2009-09,32
2009-10,32
2009-11,27
2009-12,29
2010-01,30
2010-02,28
2010-03,26
2010-04,22
2010-05,21
2010-06,26
2010-07,25
2010-08,22
2010-09,27
2010-10,39
2010-11,25
2010-12,32
2011-01,40
2011-02,37
2011-03,34
2011-04,29
2011-05,28
2011-06,27
2011-07,30
2011-08,33
2011-09,40
2011-10,34
2011-11,26
2011-12,30
2012-01,29
2012-02,30
2012-03,27
2012-04,25
2012-05,25
2012-06,27
2012-07,35
2012-08,30
2012-09,35
2012-10,31
2012-11,36
2012-12,38
2013-01,39
2013-02,36
2013-03,41
2013-04,48
2013-05,35
2013-06,35
2013-07,37
2013-08,34
2013-09,39
2013-10,34
2013-11,36
2013-12,34
2014-01,31
2014-02,32
2014-03,30
2014-04,30
2014-05,31
2014-06,29
2014-07,30
2014-08,33
2014-09,37
2014-10,34
2014-11,38
2014-12,35
2015-01,35
2015-02,35
2015-03,33
2015-04,29
2015-05,26
2015-06,27
2015-07,30
2015-08,29
2015-09,28
2015-10,34
2015-11,32
2015-12,30
2016-01,28
2016-02,31
2016-03,32
2016-04,27
2016-05,30
2016-06,28
2016-07,29
2016-08,33
2016-09,33
2016-10,34
2016-11,32
2016-12,31
2017-01,36
2017-02,39
2017-03,43
2017-04,32
2017-05,32
2017-06,28
2017-07,33
2017-08,27
2017-09,33
2017-10,33
2017-11,29
2017-12,26
2018-01,30
2018-02,30
2018-03,29
2018-04,31
2018-05,32
2018-06,32
2018-07,39
2018-08,36
2018-09,83
2018-10,55
2018-11,45
2018-12,54
2019-01,70
2019-02,77
2019-03,58
2019-04,49
2019-05,44
2019-06,58
2019-07,55
2019-08,42
2019-09,65
2019-10,50
2019-11,47
2019-12,44
2020-01,46
2020-02,40
2020-03,91
2020-04,77
2020-05,48
2020-06,55
2020-07,53
2020-08,49
2020-09,53
2020-10,40
2020-11,34
2020-12,40
2021-01,41
2021-02,35
2021-03,42
2021-04,28
2021-05,26
2021-06,39
2021-07,41
2021-08,67
2021-09,58
2021-10,33
2021-11,29
2021-12,28
2022-01,34
2022-02,39
2022-03,100
2022-04,54
2022-05,29
2022-06,30
2022-07,31
2022-08,49
2022-09,42
2022-10,35
2022-11,69
2022-12,65
2023-01,41
2023-02,32
2023-03,49
2023-04,40
2023-05,34
2023-06,23
2023-07,25
2023-08,34
2023-09,31
2023-10,22
2023-11,26
2023-12,22
2024-01,22
2024-02,53
2024-03,34
