Ay,Uretim
2004-01,79
2004-02,73
2004-03,75
2004-04,100
2004-05,90
2004-06,61
2004-07,63
2004-08,44
2004-09,63
2004-10,68
2004-11,69
2004-12,79
2005-01,55
2005-02,64
2005-03,71
2005-04,72
2005-05,57
2005-06,48
2005-07,42
2005-08,39
2005-09,38
2005-10,44
2005-11,47
2005-12,53
2006-01,37
2006-02,46
2006-03,51
2006-04,50
2006-05,44
2006-06,27
2006-07,24
2006-08,23
2006-09,24
2006-10,28
2006-11,36
2006-12,48
2007-01,43
2007-02,36
2007-03,41
2007-04,39
2007-05,39
2007-06,22
2007-07,19
2007-08,19
2007-09,18
2007-10,23
2007-11,33
2007-12,32
2008-01,29
2008-02,25
2008-03,28
2008-04,28
2008-05,25
2008-06,20
2008-07,18
2008-08,18
2008-09,17
2008-10,19
2008-11,22
2008-12,21
2009-01,24
2009-02,25
2009-03,25
2009-04,22
2009-05,20
2009-06,18
2009-07,18
2009-08,16
2009-09,16
2009-10,20
2009-11,21
2009-12,24
2010-01,22
2010-02,30
2010-03,39
2010-04,32
2010-05,28
2010-06,19
2010-07,18
2010-08,18
2010-09,18
2010-10,25
2010-11,22
2010-12,26
2011-01,23
2011-02,26
2011-03,26
2011-04,23
2011-05,24
2011-06,20
2011-07,18
2011-08,18
2011-09,20
2011-10,20
2011-11,22
2011-12,22
2012-01,21
2012-02,22
2012-03,21
2012-04,22
2012-05,21
2012-06,16
2012-07,17
2012-08,17
2012-09,19
2012-10,19
2012-11,22
2012-12,21
2013-01,21
2013-02,22
2013-03,22
2013-04,22
2013-05,22
2013-06,17
2013-07,18
2013-08,17
2013-09,19
2013-10,18
2013-11,23
2013-12,21
2014-01,20
2014-02,19
2014-03,19
2014-04,21
2014-05,19
2014-06,18
2014-07,17
2014-08,16
2014-09,18
2014-10,18
2014-11,23
2014-12,22
2015-01,20
2015-02,19
2015-03,20
2015-04,20
2015-05,19
2015-06,18
2015-07,16
2015-08,16
2015-09,16
2015-10,19
2015-11,22
2015-12,22
2016-01,23
2016-02,23
2016-03,22
2016-04,22
2016-05,21
2016-06,17
2016-07,14
2016-08,16
2016-09,17
2016-10,21
2016-11,25
2016-12,23
2017-01,20
2017-02,23
2017-03,25
2017-04,22
2017-05,21
2017-06,17
2017-07,19
2017-08,15
2017-09,18
2017-10,24
2017-11,26
2017-12,22
2018-01,22
2018-02,22
2018-03,28
2018-04,27
2018-05,21
2018-06,22
2018-07,19
2018-08,17
2018-09,21
2018-10,26
2018-11,26
2018-12,23
2019-01,21
2019-02,23
2019-03,27
2019-04,28
2019-05,23
2019-06,19
2019-07,20
2019-08,18
2019-09,24
2019-10,25
2019-11,25
2019-12,27
2020-01,22
2020-02,22
2020-03,25
2020-04,29
2020-05,31
2020-06,37
2020-07,24
2020-08,22
2020-09,24
2020-10,23
2020-11,27
2020-12,36
2021-01,35
2021-02,27
2021-03,29
2021-04,36
2021-05,27
2021-06,30
2021-07,20
2021-08,21
2021-09,22
2021-10,22
2021-11,24
2021-12,22
2022-01,27
2022-02,29
2022-03,36
2022-04,31
2022-05,29
2022-06,21
2022-07,19
2022-08,21
2022-09,20
2022-10,25
2022-11,26
2022-12,27
2023-01,26
2023-02,18
2023-03,27
2023-04,34
2023-05,29
2023-06,27
2023-07,20
2023-08,24
2023-09,22
2023-10,25
2023-11,31
2023-12,26
2024-01,28
2024-02,27
2024-03,30
